"","sale.date","sales.rep","rep.sex","rep.region","rep.feedback","wine","type","cost","unit.price","units.sold","recipt","expenses","year"
"9011",2010-01-01,"Clement Arias",1,"North",4,"Riesling","white",2.097,7.94,13,103.22,4.22,2010
"1962",2010-01-01,"Deloras Mcfetridge",0,"West",7,"Riesling","white",2.097,6.99,12,83.88,4.5594,2010
"271",2010-01-02,"Lolita Wass",0,"Central",6,"Pinot Gris","white",3.741,12.04,19,228.76,7.54,2010
"6495",2010-01-02,"Nilda Hypolite",0,"Central",6,"Riesling","white",2.097,6.56,18,118.08,4.76,2010
"5733",2010-01-02,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,19,217.55,6.55,2010
"7108",2010-01-02,"Yolando Galicia",0,"North",5,"Pinot Gris","white",3.741,13.42,19,254.98,8.28,2010
"6374",2010-01-02,"Jewel Copas",1,"South",6,"Cabernet Sauvignon","red",3.624,11.96,15,179.4,6.1845,2010
"6831",2010-01-02,"Deloras Mcfetridge",0,"West",5,"Merlot","red",2.229,7.43,10,74.3,4.131,2010
"6934",2010-01-03,"Aiko Hamsher",0,"East",7,"Pinot Gris","white",3.741,12.47,21,261.87,6.783,2010
"6106",2010-01-03,"Aiko Hamsher",0,"East",6,"Riesling","white",2.097,6.99,24,167.76,5.4495,2010
"1571",2010-01-03,"Aiko Hamsher",0,"East",7,"Sauvignon Blanc","white",2.697,8.99,8,71.92,5.0715,2010
"1139",2010-01-03,"Ben Gerry",1,"East",6,"Sauvignon Blanc","white",2.697,8.99,16,143.84,5.544,2010
"4327",2010-01-03,"Lesia Belt",0,"West",7,"Sauvignon Blanc","white",2.697,8.99,14,125.86,5.5182,2010
"8836",2010-01-04,"Ben Gerry",1,"East",6,"Merlot","red",2.229,7.43,20,148.6,5.124,2010
"6434",2010-01-04,"Kym Velarde",0,"East",6,"Chardonnay","white",3.15,10.5,26,273,7.35,2010
"2314",2010-01-04,"Kym Velarde",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,21,188.79,6.7515,2010
"160",2010-01-04,"Clement Arias",1,"North",6,"Merlot","red",2.229,8.38,17,142.46,4.98,2010
"1196",2010-01-04,"Eura Begay",0,"North",6,"Cabernet Sauvignon","red",3.624,13.03,18,234.54,6.43,2010
"755",2010-01-04,"Deloras Mcfetridge",0,"West",7,"Cabernet Sauvignon","red",3.624,12.08,29,350.32,7.3134,2010
"6484",2010-01-04,"Lesia Belt",0,"West",6,"Riesling","white",2.097,6.99,10,69.9,3.8964,2010
"8990",2010-01-05,"Lolita Wass",0,"Central",5,"Pinot Gris","white",3.741,12.04,13,156.52,6.78,2010
"1087",2010-01-05,"Aiko Hamsher",0,"East",4,"Riesling","white",2.097,6.99,11,76.89,4.746,2010
"394",2010-01-05,"Clement Arias",1,"North",5,"Riesling","white",2.097,7.94,25,198.5,5.46,2010
"4932",2010-01-05,"Lavera Mccallie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,15,179.4,6.6785,2010
"5537",2010-01-06,"Dannette Saltsman",0,"Central",5,"Chardonnay","white",3.15,10.07,19,191.33,7.24,2010
"4986",2010-01-06,"Lolita Wass",0,"Central",6,"Merlot","red",2.229,7,21,147,4.92,2010
"5722",2010-01-06,"Clement Arias",1,"North",6,"Chardonnay","white",3.15,11.45,25,286.25,7.49,2010
"3753",2010-01-06,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,17,205.36,7.0278,2010
"423",2010-01-06,"Vicki Kilkenny",0,"West",6,"Chardonnay","white",3.15,10.5,8,84,5.865,2010
"2684",2010-01-07,"Virgilio Mcelligott",1,"Central",5,"Merlot","red",2.229,7,12,84,3.73,2010
"661",2010-01-07,"Kym Velarde",0,"East",7,"Merlot","red",2.229,7.43,15,111.45,4.5045,2010
"9561",2010-01-07,"Clement Arias",1,"North",6,"Cabernet Sauvignon","red",3.624,13.03,21,273.63,8.08,2010
"4158",2010-01-07,"Eura Begay",0,"North",6,"Chardonnay","white",3.15,11.45,17,194.65,6.29,2010
"2702",2010-01-07,"Yolando Galicia",0,"North",4,"Cabernet Sauvignon","red",3.624,13.03,24,312.72,6.76,2010
"493",2010-01-07,"Yolando Galicia",0,"North",7,"Chardonnay","white",3.15,11.45,12,137.4,5.55,2010
"6141",2010-01-07,"Tori Hastie",0,"South",8,"Chardonnay","white",3.15,10.38,9,93.42,4.94,2010
"3059",2010-01-07,"Bianca Suchan",0,"West",7,"Chardonnay","white",3.15,10.5,17,178.5,6.9258,2010
"796",2010-01-08,"Nilda Hypolite",0,"Central",6,"Pinot Gris","white",3.741,12.04,14,168.56,6.46,2010
"7021",2010-01-08,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,16,118.88,4.851,2010
"8195",2010-01-08,"Ben Gerry",1,"East",8,"Cabernet Sauvignon","red",3.624,12.08,12,144.96,6.069,2010
"5734",2010-01-08,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,13,96.59,4.7565,2010
"6181",2010-01-08,"Karry Noell",0,"East",5,"Merlot","red",2.229,7.43,14,104.02,4.5885,2010
"8622",2010-01-08,"Shameka Mertes",0,"North",6,"Merlot","red",2.229,8.38,22,184.36,5.24,2010
"8226",2010-01-08,"Tori Hastie",0,"South",7,"Merlot","red",2.229,7.31,17,124.27,4.693,2010
"8144",2010-01-08,"Lesia Belt",0,"West",8,"Riesling","white",2.097,6.99,12,83.88,4.3758,2010
"4580",2010-01-09,"Nilda Hypolite",0,"Central",6,"Merlot","red",2.229,7,9,63,3.58,2010
"9998",2010-01-09,"Shameka Mertes",0,"North",7,"Cabernet Sauvignon","red",3.624,13.03,16,208.48,7.19,2010
"4655",2010-01-09,"Jewel Copas",1,"South",7,"Pinot Gris","white",3.741,12.35,12,148.2,6.0325,2010
"5085",2010-01-09,"Lavera Mccallie",0,"South",7,"Cabernet Sauvignon","red",3.624,11.96,14,167.44,6.004,2010
"1165",2010-01-09,"Deloras Mcfetridge",0,"West",8,"Cabernet Sauvignon","red",3.624,12.08,10,120.8,6.0588,2010
"5985",2010-01-10,"Virgilio Mcelligott",1,"Central",7,"Merlot","red",2.229,7,20,140,4.9,2010
"6663",2010-01-10,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,15,111.45,4.8615,2010
"6417",2010-01-10,"Kym Velarde",0,"East",5,"Riesling","white",2.097,6.99,16,111.84,4.4205,2010
"6991",2010-01-10,"Clement Arias",1,"North",4,"Pinot Gris","white",3.741,13.42,6,80.52,6.77,2010
"8065",2010-01-10,"Mamie Fullington",0,"South",5,"Sauvignon Blanc","white",2.697,8.87,7,62.09,4.218,2010
"5856",2010-01-11,"Dannette Saltsman",0,"Central",7,"Pinot Gris","white",3.741,12.04,8,96.32,6.18,2010
"874",2010-01-11,"Lolita Wass",0,"Central",6,"Merlot","red",2.229,7,14,98,4.1,2010
"641",2010-01-11,"Virgilio Mcelligott",1,"Central",8,"Chardonnay","white",3.15,10.07,10,100.7,5.74,2010
"8396",2010-01-11,"Jewel Copas",1,"South",6,"Merlot","red",2.229,7.31,14,102.34,4.085,2010
"3381",2010-01-11,"Lesia Belt",0,"West",7,"Merlot","red",2.229,7.43,8,59.44,4.2636,2010
"4143",2010-01-11,"Lesia Belt",0,"West",7,"Merlot","red",2.229,7.43,18,133.74,4.692,2010
"6085",2010-01-11,"Lesia Belt",0,"West",6,"Merlot","red",2.229,7.43,12,89.16,3.9984,2010
"369",2010-01-12,"Karry Noell",0,"East",6,"Pinot Gris","white",3.741,12.47,23,286.81,6.9195,2010
"4449",2010-01-13,"Virgilio Mcelligott",1,"Central",6,"Pinot Gris","white",3.741,12.04,21,252.84,7.43,2010
"7463",2010-01-13,"Aiko Hamsher",0,"East",6,"Shiraz","red",6.051,20.17,9,181.53,10.8885,2010
"1151",2010-01-13,"Ben Gerry",1,"East",6,"Pinot Gris","white",3.741,12.47,18,224.46,6.9615,2010
"421",2010-01-13,"Kym Velarde",0,"East",6,"Merlot","red",2.229,7.43,9,66.87,4.872,2010
"5358",2010-01-13,"Kym Velarde",0,"East",7,"Pinot Gris","white",3.741,12.47,22,274.34,8.505,2010
"8190",2010-01-13,"Clement Arias",1,"North",8,"Merlot","red",2.229,8.38,17,142.46,4.84,2010
"8719",2010-01-13,"Tori Hastie",0,"South",8,"Shiraz","red",6.051,20.05,22,441.1,9.519,2010
"9166",2010-01-14,"Aiko Hamsher",0,"East",8,"Cabernet Sauvignon","red",3.624,12.08,10,120.8,6.993,2010
"771",2010-01-14,"Kym Velarde",0,"East",6,"Cabernet Sauvignon","red",3.624,12.08,13,157.04,6.5415,2010
"7307",2010-01-14,"Eura Begay",0,"North",5,"Cabernet Sauvignon","red",3.624,13.03,11,143.33,6.34,2010
"8454",2010-01-14,"Shameka Mertes",0,"North",5,"Chardonnay","white",3.15,11.45,6,68.7,5.23,2010
"2420",2010-01-14,"Vicki Kilkenny",0,"West",6,"Merlot","red",2.229,7.43,27,200.61,5.559,2010
"1896",2010-01-14,"Vicki Kilkenny",0,"West",4,"Pinot Gris","white",3.741,12.47,15,187.05,6.9156,2010
"745",2010-01-15,"Kym Velarde",0,"East",6,"Pinot Gris","white",3.741,12.47,7,87.29,7.035,2010
"1426",2010-01-15,"Clement Arias",1,"North",8,"Chardonnay","white",3.15,11.45,14,160.3,6.05,2010
"1353",2010-01-15,"Clement Arias",1,"North",6,"Sauvignon Blanc","white",2.697,9.94,14,139.16,5.66,2010
"7650",2010-01-15,"Eura Begay",0,"North",7,"Merlot","red",2.229,8.38,7,58.66,3.99,2010
"6534",2010-01-15,"Tori Hastie",0,"South",7,"Cabernet Sauvignon","red",3.624,11.96,24,287.04,7.4955,2010
"5518",2010-01-15,"Tori Hastie",0,"South",7,"Merlot","red",2.229,7.31,17,124.27,4.028,2010
"5199",2010-01-15,"Deloras Mcfetridge",0,"West",5,"Cabernet Sauvignon","red",3.624,12.08,3,36.24,6.0282,2010
"3751",2010-01-16,"Aiko Hamsher",0,"East",6,"Merlot","red",2.229,7.43,28,208.04,5.817,2010
"6349",2010-01-16,"Ben Gerry",1,"East",8,"Chardonnay","white",3.15,10.5,16,168,6.027,2010
"6595",2010-01-16,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,18,133.74,5.586,2010
"9680",2010-01-16,"Clement Arias",1,"North",5,"Merlot","red",2.229,8.38,13,108.94,4.01,2010
"8044",2010-01-16,"Jewel Copas",1,"South",7,"Chardonnay","white",3.15,10.38,12,124.56,5.1205,2010
"3267",2010-01-16,"Bianca Suchan",0,"West",7,"Merlot","red",2.229,7.43,22,163.46,4.9572,2010
"9707",2010-01-16,"Bianca Suchan",0,"West",7,"Merlot","red",2.229,7.43,16,118.88,4.6002,2010
"434",2010-01-16,"Lesia Belt",0,"West",7,"Merlot","red",2.229,7.43,12,89.16,4.6308,2010
"919",2010-01-16,"Lesia Belt",0,"West",5,"Merlot","red",2.229,7.43,17,126.31,4.9368,2010
"5172",2010-01-17,"Dannette Saltsman",0,"Central",6,"Merlot","red",2.229,7,16,112,4.44,2010
"934",2010-01-17,"Virgilio Mcelligott",1,"Central",6,"Chardonnay","white",3.15,10.07,26,261.82,6.63,2010
"5050",2010-01-17,"Kym Velarde",0,"East",6,"Merlot","red",2.229,7.43,31,230.33,5.04,2010
